Record Time,ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ
2020-06-29 10:50:24,0.952,0.399,2.351,8.240,-6.042,-0.366,4.45,-22.25,-35.59
2020-06-29 10:50:24,1.051,0.445,2.318,6.348,-9.155,-1.404,4.57,-22.34,-35.61
2020-06-29 10:50:24,1.093,0.386,2.303,2.686,-8.179,-1.648,4.67,-22.43,-35.64
2020-06-29 10:50:24,1.085,0.197,2.245,-2.380,-4.883,-1.343,4.70,-22.50,-35.66
2020-06-29 10:50:24,0.994,0.067,2.245,-6.165,0.793,-0.671,4.65,-22.53,-35.66
2020-06-29 10:50:24,0.883,-0.031,2.280,-7.751,5.798,0.183,4.54,-22.48,-35.66
2020-06-29 10:50:24,0.851,-0.075,2.266,-5.920,8.545,1.160,4.42,-22.38,-35.63
2020-06-29 10:50:24,0.804,-0.013,2.339,-1.953,7.935,1.709,4.33,-22.29,-35.61
2020-06-29 10:50:24,0.816,0.151,2.341,3.052,3.662,1.587,4.30,-22.22,-35.59
2020-06-29 10:50:24,0.891,0.313,2.369,7.080,-2.014,0.549,4.37,-22.21,-35.58
2020-06-29 10:50:24,0.997,0.401,2.334,7.996,-7.202,-0.671,4.48,-22.26,-35.60
2020-06-29 10:50:24,1.076,0.418,2.298,5.798,-9.216,-1.465,4.60,-22.36,-35.62
2020-06-29 10:50:24,1.076,0.348,2.281,1.587,-7.507,-1.587,4.68,-22.46,-35.65
2020-06-29 10:50:24,1.077,0.153,2.235,-3.479,-3.418,-1.160,4.69,-22.52,-35.66
2020-06-29 10:50:24,1.012,-0.015,2.238,-7.141,2.258,-0.488,4.61,-22.52,-35.67
2020-06-29 10:50:24,0.895,-0.041,2.270,-7.507,6.958,0.427,4.49,-22.47,-35.66
2020-06-29 10:50:24,0.816,-0.022,2.312,-4.700,9.033,1.221,4.38,-22.37,-35.63
2020-06-29 10:50:24,0.786,0.035,2.330,-0.854,7.385,1.709,4.31,-22.27,-35.61
2020-06-29 10:50:24,0.834,0.169,2.341,4.028,2.258,1.221,4.31,-22.22,-35.60
2020-06-29 10:50:24,0.925,0.326,2.367,7.568,-3.540,0.183,4.38,-22.23,-35.60
2020-06-29 10:50:24,1.006,0.416,2.328,7.568,-7.935,-1.038,4.50,-22.29,-35.61
2020-06-29 10:50:24,1.077,0.431,2.297,4.639,-8.972,-1.648,4.61,-22.39,-35.64
2020-06-29 10:50:24,1.104,0.293,2.276,0.000,-6.714,-1.587,4.68,-22.48,-35.66
2020-06-29 10:50:24,1.027,0.162,2.251,-4.700,-1.953,-1.099,4.66,-22.53,-35.68
2020-06-29 10:50:24,0.957,0.015,2.233,-7.751,3.723,-0.244,4.58,-22.51,-35.67
2020-06-29 10:50:24,0.889,-0.097,2.286,-7.263,7.996,0.610,4.47,-22.44,-35.66
2020-06-29 10:50:24,0.820,-0.060,2.294,-3.784,8.850,1.526,4.35,-22.34,-35.64
2020-06-29 10:50:24,0.780,0.100,2.347,0.549,6.042,1.709,4.29,-22.25,-35.61
2020-06-29 10:50:24,0.829,0.265,2.377,5.493,0.977,1.038,4.32,-22.21,-35.60
2020-06-29 10:50:24,0.954,0.390,2.350,8.179,-5.066,0.000,4.42,-22.23,-35.61
2020-06-29 10:50:24,1.038,0.417,2.341,7.019,-8.728,-1.221,4.55,-22.31,-35.63
2020-06-29 10:50:24,1.085,0.376,2.281,3.601,-8.484,-1.587,4.65,-22.40,-35.65
2020-06-29 10:50:24,1.070,0.261,2.260,-1.099,-5.676,-1.343,4.69,-22.48,-35.67
2020-06-29 10:50:24,1.000,0.108,2.252,-5.371,-0.427,-0.732,4.66,-22.52,-35.68
