Record Time,ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ
2020-06-29 10:43:33,0.201,-0.187,2.943,-5.066,-0.793,-1.038,-4.65,-1.99,-3.03
2020-06-29 10:43:33,0.233,-0.283,2.975,-4.089,-1.648,-0.793,-4.67,-2.03,-3.04
2020-06-29 10:43:33,0.169,-0.315,2.926,-1.953,-2.014,0.244,-4.70,-2.08,-3.04
2020-06-29 10:43:33,0.083,-0.283,2.905,1.465,-1.404,0.916,-4.70,-2.10,-3.03
2020-06-29 10:43:33,0.075,-0.319,2.938,3.967,-0.244,1.221,-4.67,-2.10,-3.01
2020-06-29 10:43:33,0.059,-0.314,2.987,3.906,0.671,0.854,-4.65,-2.08,-3.00
2020-06-29 10:43:33,0.056,-0.270,2.981,4.395,1.709,0.427,-4.62,-2.05,-3.00
2020-06-29 10:43:33,0.051,-0.176,2.919,3.296,1.770,-0.549,-4.59,-2.03,-3.01
2020-06-29 10:43:34,0.032,-0.125,2.899,0.610,1.038,-1.343,-4.58,-2.01,-3.02
2020-06-29 10:43:34,0.101,-0.148,2.906,-2.991,0.854,-1.038,-4.58,-1.99,-3.03
2020-06-29 10:43:34,0.221,-0.209,2.953,-5.249,-1.099,-0.977,-4.62,-2.00,-3.04
2020-06-29 10:43:34,0.231,-0.275,2.976,-4.333,-1.953,-0.671,-4.65,-2.04,-3.05
2020-06-29 10:43:34,0.153,-0.285,2.925,-1.343,-1.709,0.305,-4.67,-2.08,-3.04
2020-06-29 10:43:34,0.075,-0.271,2.906,1.831,-1.160,1.160,-4.66,-2.10,-3.03
2020-06-29 10:43:34,0.083,-0.301,2.948,3.723,-0.183,1.465,-4.64,-2.10,-3.02
2020-06-29 10:43:34,0.065,-0.304,2.990,3.845,0.793,0.732,-4.61,-2.08,-3.01
2020-06-29 10:43:34,0.055,-0.268,2.979,4.211,1.709,0.183,-4.58,-2.06,-3.01
2020-06-29 10:43:34,0.033,-0.141,2.900,3.357,1.709,-0.671,-4.55,-2.03,-3.02
2020-06-29 10:43:34,0.040,-0.110,2.885,1.160,0.977,-1.465,-4.52,-2.01,-3.03
2020-06-29 10:43:34,0.114,-0.139,2.905,-3.296,0.732,-1.526,-4.53,-1.99,-3.05
2020-06-29 10:43:34,0.230,-0.218,2.957,-5.981,-1.404,-0.916,-4.57,-2.01,-3.05
2020-06-29 10:43:34,0.225,-0.286,2.977,-5.371,-2.136,-0.488,-4.62,-2.05,-3.06
2020-06-29 10:43:34,0.147,-0.287,2.928,-2.502,-1.709,0.732,-4.65,-2.09,-3.05
2020-06-29 10:43:34,0.063,-0.254,2.905,0.977,-0.916,1.160,-4.65,-2.11,-3.04
2020-06-29 10:43:34,0.079,-0.300,2.943,2.869,0.000,1.953,-4.63,-2.10,-3.02
2020-06-29 10:43:34,0.063,-0.304,2.986,2.502,0.916,1.343,-4.62,-2.08,-3.00
2020-06-29 10:43:34,0.062,-0.281,2.982,2.808,1.770,0.305,-4.60,-2.05,-3.00
2020-06-29 10:43:34,0.016,-0.151,2.901,1.953,1.648,-0.366,-4.59,-2.03,-3.01
2020-06-29 10:43:34,0.044,-0.125,2.876,0.366,1.099,-1.038,-4.57,-2.01,-3.02
2020-06-29 10:43:34,0.135,-0.159,2.899,-3.723,0.488,-1.343,-4.59,-1.99,-3.03
2020-06-29 10:43:34,0.228,-0.219,2.965,-5.615,-1.404,-0.977,-4.63,-2.01,-3.04
2020-06-29 10:43:34,0.214,-0.294,2.963,-4.272,-2.014,-0.488,-4.66,-2.05,-3.05
2020-06-29 10:43:34,0.151,-0.306,2.916,-1.648,-1.709,0.427,-4.69,-2.09,-3.04
2020-06-29 10:43:34,0.065,-0.268,2.909,1.709,-1.038,1.221,-4.69,-2.11,-3.03
2020-06-29 10:43:34,0.079,-0.313,2.944,3.784,0.305,1.282,-4.66,-2.10,-3.02
2020-06-29 10:43:34,0.066,-0.308,2.979,3.357,0.916,0.916,-4.64,-2.08,-3.00
2020-06-29 10:43:34,0.047,-0.247,2.973,3.601,1.953,0.305,-4.61,-2.05,-3.00
2020-06-29 10:43:34,0.005,-0.155,2.889,2.197,1.831,-0.671,-4.59,-2.02,-3.02
2020-06-29 10:43:34,0.049,-0.136,2.878,-0.305,1.038,-1.099,-4.58,-1.99,-3.03
2020-06-29 10:43:34,0.128,-0.182,2.922,-4.028,0.427,-1.160,-4.60,-1.98,-3.04
2020-06-29 10:43:34,0.230,-0.224,2.979,-5.188,-1.099,-0.793,-4.64,-2.00,-3.04
2020-06-29 10:43:34,0.215,-0.299,2.954,-3.113,-2.197,-0.488,-4.67,-2.04,-3.05
2020-06-29 10:43:34,0.139,-0.302,2.912,-0.305,-1.770,0.732,-4.69,-2.08,-3.04
2020-06-29 10:43:34,0.069,-0.267,2.918,2.747,-0.793,1.282,-4.67,-2.10,-3.03
2020-06-29 10:43:34,0.085,-0.316,2.964,4.395,0.244,0.977,-4.63,-2.09,-3.02
2020-06-29 10:43:34,0.066,-0.284,2.982,4.150,0.854,0.671,-4.61,-2.07,-3.01
2020-06-29 10:43:34,0.040,-0.225,2.964,4.761,1.953,0.000,-4.57,-2.04,-3.01
2020-06-29 10:43:34,0.005,-0.129,2.897,2.869,1.770,-0.977,-4.54,-2.02,-3.02
2020-06-29 10:43:34,0.050,-0.104,2.879,0.000,0.916,-1.465,-4.52,-1.99,-3.04
2020-06-29 10:43:34,0.134,-0.178,2.927,-4.211,0.000,-1.221,-4.53,-1.98,-3.05
2020-06-29 10:43:34,0.238,-0.240,2.994,-6.287,-1.282,-0.793,-4.59,-2.00,-3.06
2020-06-29 10:43:34,0.209,-0.290,2.959,-4.272,-2.380,-0.244,-4.63,-2.05,-3.06
2020-06-29 10:43:34,0.136,-0.290,2.902,-0.916,-1.709,0.977,-4.65,-2.08,-3.05
2020-06-29 10:43:34,0.067,-0.263,2.913,1.892,-0.671,1.526,-4.64,-2.09,-3.03
2020-06-29 10:43:34,0.076,-0.316,2.968,3.174,0.549,1.587,-4.61,-2.08,-3.02
2020-06-29 10:43:34,0.078,-0.294,2.980,2.808,1.038,0.793,-4.60,-2.07,-3.01
2020-06-29 10:43:34,0.034,-0.249,2.966,3.296,1.770,0.000,-4.58,-2.04,-3.01
2020-06-29 10:43:34,0.017,-0.114,2.925,2.014,1.892,-0.732,-4.56,-2.01,-3.02
2020-06-29 10:43:34,0.060,-0.134,2.880,-0.366,0.977,-1.648,-4.54,-1.98,-3.04
2020-06-29 10:43:34,0.142,-0.185,2.913,-4.639,-0.244,-1.099,-4.56,-1.98,-3.05
2020-06-29 10:43:34,0.240,-0.240,2.984,-6.042,-1.465,-0.854,-4.61,-2.00,-3.05
2020-06-29 10:43:34,0.207,-0.308,2.957,-4.272,-2.258,-0.183,-4.66,-2.05,-3.05
2020-06-29 10:43:34,0.127,-0.284,2.900,-1.282,-1.709,1.038,-4.69,-2.08,-3.04
2020-06-29 10:43:34,0.066,-0.272,2.909,2.075,-0.610,1.404,-4.67,-2.09,-3.03
2020-06-29 10:43:34,0.073,-0.317,2.963,3.052,0.732,1.526,-4.65,-2.08,-3.02
2020-06-29 10:43:34,0.077,-0.306,2.975,2.747,1.099,1.038,-4.64,-2.06,-3.00
2020-06-29 10:43:34,0.032,-0.256,2.953,2.869,1.831,0.000,-4.62,-2.03,-3.00
2020-06-29 10:43:34,0.035,-0.153,2.923,1.343,1.892,-0.916,-4.61,-2.01,-3.02
2020-06-29 10:43:34,0.080,-0.141,2.894,-1.404,0.916,-1.038,-4.61,-1.98,-3.03
2020-06-29 10:43:34,0.157,-0.193,2.921,-4.456,-0.183,-1.099,-4.64,-1.98,-3.04
2020-06-29 10:43:34,0.234,-0.255,2.976,-4.944,-1.526,-1.038,-4.67,-2.01,-3.05
2020-06-29 10:43:34,0.195,-0.303,2.954,-2.563,-2.075,-0.366,-4.70,-2.05,-3.05
2020-06-29 10:43:34,0.110,-0.296,2.902,0.366,-1.648,0.916,-4.71,-2.08,-3.04
2020-06-29 10:43:34,0.077,-0.284,2.920,3.296,-0.671,0.977,-4.69,-2.09,-3.03
2020-06-29 10:43:34,0.071,-0.326,2.974,4.333,0.671,0.732,-4.65,-2.08,-3.02
2020-06-29 10:43:34,0.068,-0.279,2.977,4.211,1.343,0.671,-4.63,-2.05,-3.02
2020-06-29 10:43:34,0.042,-0.229,2.943,4.272,1.892,-0.366,-4.59,-2.03,-3.02
2020-06-29 10:43:34,0.024,-0.145,2.907,1.709,1.709,-1.282,-4.58,-2.01,-3.03
2020-06-29 10:43:34,0.104,-0.137,2.903,-1.648,0.793,-1.160,-4.58,-1.98,-3.05
2020-06-29 10:43:34,0.193,-0.197,2.943,-4.883,-0.488,-0.793,-4.60,-1.99,-3.05
2020-06-29 10:43:34,0.229,-0.253,2.975,-5.310,-1.648,-0.977,-4.65,-2.02,-3.07
2020-06-29 10:43:34,0.184,-0.292,2.937,-2.441,-2.136,0.000,-4.67,-2.07,-3.06
2020-06-29 10:43:34,0.098,-0.279,2.898,0.732,-1.526,1.221,-4.68,-2.09,-3.05
2020-06-29 10:43:34,0.079,-0.285,2.931,3.113,-0.488,1.526,-4.65,-2.10,-3.03
2020-06-29 10:43:34,0.064,-0.321,2.994,3.601,0.549,0.977,-4.63,-2.09,-3.02
2020-06-29 10:43:34,0.074,-0.277,2.983,3.906,1.404,0.488,-4.60,-2.06,-3.02
2020-06-29 10:43:34,0.051,-0.196,2.947,3.845,1.587,-0.183,-4.58,-2.04,-3.02
2020-06-29 10:43:34,0.019,-0.105,2.892,1.770,1.709,-1.343,-4.55,-2.02,-3.04
2020-06-29 10:43:34,0.111,-0.134,2.881,-1.648,0.671,-1.526,-4.54,-1.99,-3.05
2020-06-29 10:43:34,0.199,-0.187,2.942,-5.554,-0.732,-0.916,-4.58,-2.00,-3.06
2020-06-29 10:43:34,0.235,-0.266,2.979,-6.042,-1.709,-0.854,-4.63,-2.04,-3.07
2020-06-29 10:43:34,0.174,-0.296,2.932,-3.540,-2.197,0.244,-4.66,-2.08,-3.07
2020-06-29 10:43:34,0.085,-0.270,2.896,0.000,-1.282,1.282,-4.67,-2.11,-3.05
2020-06-29 10:43:34,0.074,-0.288,2.922,2.380,0.000,1.648,-4.66,-2.10,-3.03
2020-06-29 10:43:34,0.058,-0.321,2.983,2.563,0.854,1.404,-4.65,-2.09,-3.02
2020-06-29 10:43:34,0.071,-0.289,2.981,2.686,1.648,0.671,-4.64,-2.06,-3.02
2020-06-29 10:43:34,0.054,-0.203,2.950,2.502,1.648,-0.183,-4.62,-2.04,-3.02
2020-06-29 10:43:34,0.031,-0.107,2.894,0.793,1.648,-1.099,-4.60,-2.01,-3.03
2020-06-29 10:43:34,0.117,-0.156,2.876,-2.258,0.793,-1.282,-4.60,-1.99,-3.04
2020-06-29 10:43:34,0.203,-0.182,2.935,-5.371,-0.916,-0.916,-4.64,-2.01,-3.05
2020-06-29 10:43:34,0.229,-0.281,2.980,-4.700,-1.709,-0.793,-4.67,-2.04,-3.06
2020-06-29 10:43:34,0.167,-0.314,2.937,-2.563,-2.014,0.244,-4.71,-2.08,-3.05
2020-06-29 10:43:34,0.078,-0.276,2.909,0.793,-1.343,0.977,-4.71,-2.11,-3.04
2020-06-29 10:43:34,0.074,-0.308,2.926,3.662,0.000,1.160,-4.69,-2.10,-3.03
2020-06-29 10:43:34,0.060,-0.318,2.979,3.540,0.732,1.038,-4.66,-2.09,-3.02
2020-06-29 10:43:34,0.061,-0.267,2.978,3.906,1.709,0.549,-4.64,-2.06,-3.02
2020-06-29 10:43:35,0.047,-0.178,2.919,3.113,1.770,-0.671,-4.61,-2.03,-3.03
2020-06-29 10:43:35,0.040,-0.118,2.895,0.610,1.282,-1.221,-4.59,-2.01,-3.04
2020-06-29 10:43:35,0.119,-0.162,2.894,-2.869,0.854,-0.977,-4.60,-1.99,-3.05
2020-06-29 10:43:35,0.222,-0.197,2.948,-5.188,-1.038,-0.854,-4.64,-2.01,-3.06
2020-06-29 10:43:35,0.230,-0.290,2.976,-4.028,-1.831,-0.793,-4.67,-2.05,-3.07
2020-06-29 10:43:35,0.145,-0.291,2.925,-1.404,-1.831,0.610,-4.69,-2.09,-3.06
