Record Time,ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ
2020-06-29 10:51:43,0.83,0.19699999999999998,2.354,4.272,1.77,1.099,4.17,-21.89,-37.21
2020-06-29 10:51:43,0.9420000000000001,0.315,2.354,7.507000000000001,-4.5169999999999995,0.0,4.26,-21.91,-37.21
2020-06-29 10:51:43,1.0290000000000001,0.39399999999999996,2.3409999999999997,7.385,-8.728,-1.2819999999999998,4.37,-21.99,-37.23
2020-06-29 10:51:43,1.08,0.41700000000000004,2.292,4.5169999999999995,-9.094,-1.77,4.48,-22.09,-37.25
2020-06-29 10:51:43,1.083,0.306,2.289,0.0,-6.47,-1.465,4.54,-22.18,-37.28
2020-06-29 10:51:43,1.024,0.174,2.239,-4.883,-1.526,-0.7929999999999999,4.53,-22.23,-37.29
2020-06-29 10:51:43,0.982,-0.004,2.241,-7.935,4.272,0.0,4.45,-22.21,-37.28
2020-06-29 10:51:43,0.907,-0.113,2.2769999999999997,-7.263,8.667,0.977,4.32,-22.14,-37.27
2020-06-29 10:51:43,0.813,-0.048,2.29,-3.906,9.338,1.77,4.2,-22.04,-37.24
2020-06-29 10:51:43,0.765,0.105,2.353,0.366,6.7139999999999995,1.831,4.15,-21.95,-37.22
2020-06-29 10:51:43,0.821,0.256,2.354,5.188,1.038,0.977,4.17,-21.9,-37.21
2020-06-29 10:51:43,0.9540000000000001,0.37,2.3569999999999998,7.874,-5.371,-0.244,4.28,-21.93,-37.21
2020-06-29 10:51:43,1.051,0.4,2.342,6.775,-8.911,-1.4040000000000001,4.4,-22.01,-37.23
2020-06-29 10:51:43,1.0959999999999999,0.37200000000000005,2.274,3.662,-8.667,-1.77,4.5,-22.12,-37.26
2020-06-29 10:51:43,1.0859999999999999,0.271,2.27,-0.9159999999999999,-5.615,-1.3430000000000002,4.54,-22.2,-37.28
2020-06-29 10:51:43,1.016,0.121,2.248,-5.371,-0.183,-0.6709999999999999,4.52,-22.24,-37.29
2020-06-29 10:51:43,0.94,0.012,2.253,-8.118,5.188,0.183,4.42,-22.21,-37.28
2020-06-29 10:51:44,0.863,-0.049,2.294,-6.897,9.277000000000001,1.16,4.3,-22.12,-37.26
2020-06-29 10:51:44,0.79,-0.021,2.316,-3.3569999999999998,9.338,1.77,4.2,-22.02,-37.23
2020-06-29 10:51:44,0.7759999999999999,0.1,2.338,1.16,5.676,1.6480000000000001,4.16,-21.93,-37.21
2020-06-29 10:51:44,0.846,0.245,2.359,5.859,0.0,0.6709999999999999,4.2,-21.89,-37.2
2020-06-29 10:51:44,0.96,0.377,2.37,8.057,-6.165,-0.61,4.3,-21.93,-37.22
2020-06-29 10:51:44,1.045,0.439,2.329,6.5920000000000005,-9.155,-1.6480000000000001,4.42,-22.02,-37.24
2020-06-29 10:51:44,1.0979999999999999,0.38799999999999996,2.292,2.991,-8.362,-1.831,4.52,-22.12,-37.27
2020-06-29 10:51:44,1.083,0.248,2.262,-1.892,-4.7,-1.3430000000000002,4.56,-22.19,-37.28
2020-06-29 10:51:44,0.9890000000000001,0.098,2.25,-6.042000000000001,1.038,-0.5489999999999999,4.52,-22.21,-37.29
2020-06-29 10:51:44,0.9179999999999999,-0.027000000000000003,2.245,-7.935,6.042000000000001,0.42700000000000005,4.42,-22.17,-37.28
2020-06-29 10:51:44,0.8590000000000001,-0.084,2.3040000000000003,-6.531000000000001,9.46,1.3430000000000002,4.3,-22.08,-37.25
2020-06-29 10:51:44,0.7859999999999999,-0.011000000000000001,2.313,-2.6860000000000004,8.85,1.77,4.19,-21.98,-37.23
2020-06-29 10:51:44,0.785,0.154,2.349,2.258,4.5169999999999995,1.526,4.16,-21.9,-37.21
2020-06-29 10:51:44,0.8690000000000001,0.28600000000000003,2.376,6.287000000000001,-1.4040000000000001,0.366,4.22,-21.88,-37.21
2020-06-29 10:51:44,0.9990000000000001,0.377,2.34,7.935,-7.141,-0.9159999999999999,4.33,-21.93,-37.22
2020-06-29 10:51:44,1.065,0.408,2.33,5.981,-9.399,-1.709,4.45,-22.03,-37.25
2020-06-29 10:51:44,1.091,0.368,2.2840000000000003,2.075,-8.057,-1.709,4.53,-22.13,-37.28
2020-06-29 10:51:44,1.072,0.192,2.244,-2.6860000000000004,-3.784,-1.2209999999999999,4.56,-22.2,-37.29
2020-06-29 10:51:44,0.973,0.083,2.26,-6.775,1.892,-0.366,4.5,-22.21,-37.29
2020-06-29 10:51:44,0.887,-0.002,2.254,-7.813,6.775,0.61,4.39,-22.16,-37.28
2020-06-29 10:51:44,0.852,-0.08,2.301,-5.92,9.46,1.465,4.28,-22.06,-37.25
2020-06-29 10:51:44,0.8029999999999999,-0.026000000000000002,2.306,-1.892,8.179,1.831,4.19,-21.96,-37.23
2020-06-29 10:51:44,0.805,0.156,2.3569999999999998,3.113,3.418,1.465,4.16,-21.9,-37.21
2020-06-29 10:51:44,0.88,0.327,2.365,7.019,-2.441,0.366,4.23,-21.9,-37.21
2020-06-29 10:51:44,1.0,0.41200000000000003,2.353,7.996,-7.629,-0.977,4.35,-21.95,-37.23
2020-06-29 10:51:44,1.087,0.42100000000000004,2.319,5.432,-9.399,-1.6480000000000001,4.47,-22.06,-37.25
2020-06-29 10:51:44,1.095,0.35200000000000004,2.273,1.16,-7.568,-1.587,4.55,-22.15,-37.28
2020-06-29 10:51:44,1.089,0.14300000000000002,2.242,-3.418,-2.991,-1.099,4.56,-22.21,-37.29
2020-06-29 10:51:44,0.9990000000000001,0.012,2.2430000000000003,-7.507000000000001,2.747,-0.183,4.48,-22.23,-37.29
2020-06-29 10:51:44,0.865,-0.009000000000000001,2.276,-7.69,7.568,0.7929999999999999,4.36,-22.17,-37.28
2020-06-29 10:51:44,0.8029999999999999,-0.021,2.31,-5.066,9.705,1.526,4.25,-22.06,-37.25
2020-06-29 10:51:44,0.792,0.006999999999999999,2.309,-1.2819999999999998,7.629,1.831,4.18,-21.96,-37.23
