Record Time,ax,ay,az,wx,wy,wz,AngleX,AngleY,AngleZ
2020-06-29 10:21:03,-0.075,-0.209,2.956,0.183,0.244,0.000,-4.11,1.56,-0.01
2020-06-29 10:21:03,-0.093,-0.228,2.940,0.244,0.000,0.000,-4.11,1.56,-0.01
2020-06-29 10:21:03,-0.091,-0.177,2.948,0.000,0.000,0.305,-4.11,1.56,-0.01
2020-06-29 10:21:03,-0.089,-0.180,2.942,0.244,0.000,0.000,-4.10,1.57,-0.01
2020-06-29 10:21:03,-0.069,-0.166,2.942,0.000,0.000,0.305,-4.10,1.57,-0.01
2020-06-29 10:21:03,-0.076,-0.224,2.921,0.000,-0.244,0.000,-4.09,1.56,-0.01
2020-06-29 10:21:03,-0.063,-0.230,2.961,-0.366,-0.183,0.000,-4.10,1.56,-0.01
2020-06-29 10:21:03,-0.097,-0.223,2.951,-0.427,0.000,0.000,-4.10,1.55,-0.01
2020-06-29 10:21:03,-0.092,-0.213,2.949,0.000,0.549,-0.183,-4.10,1.57,-0.01
2020-06-29 10:21:03,-0.083,-0.219,2.951,0.000,0.305,0.000,-4.10,1.57,-0.01
2020-06-29 10:21:03,-0.069,-0.213,2.956,0.183,0.183,0.183,-4.10,1.57,-0.01
2020-06-29 10:21:03,-0.083,-0.217,2.946,0.000,0.000,0.000,-4.10,1.57,-0.01
2020-06-29 10:21:03,-0.104,-0.198,2.939,0.000,0.000,0.183,-4.11,1.57,-0.01
2020-06-29 10:21:03,-0.087,-0.174,2.933,0.000,0.000,0.183,-4.10,1.57,-0.01
2020-06-29 10:21:03,-0.059,-0.179,2.939,-0.183,-0.244,0.000,-4.10,1.57,-0.01
2020-06-29 10:21:03,-0.067,-0.220,2.930,-0.244,-0.183,0.000,-4.09,1.57,-0.01
2020-06-29 10:21:03,-0.073,-0.238,2.957,-0.183,-0.183,0.000,-4.10,1.56,-0.01
2020-06-29 10:21:03,-0.086,-0.218,2.952,-0.366,0.000,0.000,-4.11,1.56,-0.01
2020-06-29 10:21:03,-0.076,-0.223,2.962,0.305,0.366,-0.183,-4.10,1.57,-0.01
2020-06-29 10:21:03,-0.083,-0.221,2.950,0.000,0.427,0.000,-4.11,1.57,-0.01
2020-06-29 10:21:03,-0.069,-0.231,2.951,0.305,0.000,0.183,-4.11,1.57,-0.01
2020-06-29 10:21:03,-0.083,-0.217,2.938,0.000,-0.244,0.183,-4.11,1.57,-0.01
